1;Neyrolles (Les);1130
1;Neyron;1700
1;Nievroz;1120
1;Nivollet-Montgriffon;1230
1;Oncieu;1230
1;Ordonnaz;1510
1;Ornex;1210
1;Outriaz;1430
1;Oyonnax;1100
1;Ozan;1190
1;Parcieux;1600
1;Parves;1300
1;Peron;1630
1;Peronnas;1960
1;Perouges;1800
1;Perrex;1540
1;Petit-Abergement (Le);1260
1;Peyriat;1430
1;Peyrieu;1300
1;Peyzieux-sur-Saone;1140
1;Pirajoux;1270
1;Pizay;1120
1;Plagne;1130
1;Plantay (Le);1330
1;Poizat (Le);1130
1;Polliat;1310
1;Pollieu;1350
1;Poncin;1450
1;Pont-d'Ain;1160
1;Pont-de-Vaux;1190
1;Pont-de-Veyle;1290
1;Port;1460
1;Pougny;1550
1;Pouillat;1250
1;Premeyzel;1300
1;Premillieu;01110-01510
1;Pressiat;1370
1;Prevessin-Moëns;1280
1;Priay;1160
1;Pugieu;1510
1;Ramasse;1250
1;Rance;1390
1;Relevant;1990
1;Replonges;1750
1;Revonnas;1250
1;Reyrieux;1600
1;Reyssouze;1190
1;Rignieux-le-Franc;1800
1;Romans;1400
1;Rossillon;1510
1;Ruffieu;1260
1;Saint-Alban;1450
1;Saint-Andre-de-Bage;1380
1;Saint-Andre-de-Corcy;1390
1;Saint-Andre-d'Huiriat;1290
1;Saint-Andre-le-Bouchoux;1240
1;Saint-Andre-sur-Vieux-Jonc;1960
1;Saint-Benigne;1190
1;Saint-Benoit;1300
1;Saint-Bernard;1600
1;Saint-Bois;1300
1;Saint-Champ;1300
1;Sainte-Croix;1120
1;Saint-Cyr-sur-Menthon;1380
1;Saint-Denis-les-Bourg;1000
1;Saint-Denis-en-Bugey;1500
1;Saint-Didier-d'Aussiat;1340
1;Saint-Didier-de-Formans;1600
1;Saint-Didier-sur-Chalaronne;1140
1;Saint-Eloi;1800
1;Saint-Etienne-du-Bois;1370
1;Saint-Etienne-sur-Chalaronne;1140
1;Saint-Etienne-sur-Reyssouze;1190
1;Sainte-Euphemie;1600
1;Saint-Genis-Pouilly;1630
1;Saint-Genis-sur-Menthon;1380
1;Saint-Georges-sur-Renon;1400
1;Saint-Germain-de-Joux;1130
1;Saint-Germain-les-Paroisses;1300
1;Saint-Germain-sur-Renon;1240
1;Saint-Jean-de-Gonville;1630
1;Saint-Jean-de-Niost;1800
1;Saint-Jean-de-Thurigneux;1390
1;Saint-Jean-le-Vieux;1640
1;Saint-Jean-sur-Reyssouze;1560
1;Saint-Jean-sur-Veyle;1290
1;Sainte-Julie;1150
1;Saint-Julien-sur-Reyssouze;1560
1;Saint-Julien-sur-Veyle;1540
1;Saint-Just;1250
1;Saint-Laurent-sur-Saone;1750
1;Saint-Marcel;1390
1;Saint-Martin-de-Bavel;1510
1;Saint-Martin-du-Frene;1430
1;Saint-Martin-du-Mont;1160
1;Saint-Martin-le-Chatel;1310
